Age;AlphaForm;BetaWForm;BetaSForm;BetaJForm;GammaForm;CollpF;Duration;RefForm;formation.name;Environments
251.8;4.1065;11.49333837;0.864770127;0.912283337;35.434;54;0;6;Dinwoody;3
251.8;2.6532;10.76025812;0.660695707;0.746271657;17.85;78;0;4;Wordie Creek;3
251.8;4.8329;13.85811761;0.904652552;0.942549943;53.008;51;0;10;Feixianguan;4
251.5723214;4.1497;12.15969449;0.840391248;0.898988144;38.074;56;2.55;3;Daye;2
251.0633333;2.6676;5.745265301;NA;NA;9.498;45;2.55;1;Bodvaszilas Sandstone;2
250.9199346;4.1678;12.25154519;0.867501949;0.910815855;38.534;153;2.55;12;Werfen;4
249.75;3.0307;5.348612087;0.630358956;0.73355094;10.788;37;0;1;Csopak Marl;1
249.2616279;3.7697;13.55812951;0.895352214;0.926425529;37.268;43;0.5;13;Thaynes;3
249.25;7.1025;11.48179378;0.896763639;0.935339587;69.31;103;0;9;Moenkopi;4
249.25;2.9568;7.161849038;0.692344244;0.776586942;13.964;25;0;1;Szin Marl;2
244.6;8.1592;8.556008779;0.755488985;0.833914494;61.424;34;0;5;Fels?rs;5
244.5469697;27.2177;7.509751799;0.873122221;0.918266407;189.866;66;3.5;8;Qingyan;3
243.5986842;3.5794;15.68705579;0.904793627;0.93734774;40.19;38;10.75;3;Ulakhan-Krest;1
232.978;17.3413;16.63972027;0.964656274;0.978126377;267.536;125;10.25;23;Cassian;5
228.2539683;3.0815;5.960782854;0.642180036;0.743400057;12.256;63;6.25;2;Luning;2
214.795;3.346;11.87283624;0.843907364;0.890621967;27.474;28;4.98;5;Luning;4
212.1758621;2.7642;19.20068838;0.846754533;0.890893722;33.88;29;10.18;6;Chambara;3
207.3133766;6.8118;13.20484619;0.928960017;0.957189712;75.666;77;10.18;10;Nayband;3
203.6;4.5715;10.7959485;0.859295328;0.909185899;38.364;233;0;7;Koessen;5
202.5017241;2.6186;10.74160396;0.736616583;0.805812882;17.372;29;4.55;2;Kendlbach;1
